993,-73,4196,20.34,-117,101,38
992,-72,4252,20.34,-124,109,40
955,-61,4204,20.34,-124,104,39
998,-87,4228,20.29,-122,101,37
979,-74,4233,20.25,-131,107,39
955,-77,4238,20.25,-123,109,35
978,-90,4214,20.25,-124,106,39
-112,368,4472,20.29,-7,1685,1430
-2199,-583,3504,20.34,65,-22,-1
-2308,-670,3468,20.25,11,99,-3
-2316,-637,3352,20.34,-87,79,25
-2353,-649,3439,20.39,-99,142,9
-2439,-569,3285,20.29,-232,175,7
-2428,-588,3288,20.39,19,68,28
-2451,-575,3386,20.29,-89,147,23
-2322,-610,3478,20.39,-231,56,34
-2115,-327,3605,20.39,-186,-5,33
1064,-273,4508,20.48,-152,-265,722
997,-54,4176,20.44,-118,104,33
972,-79,4223,20.48,-122,109,41
992,-65,4219,20.48,-128,105,37
956,-65,4208,20.53,-121,103,31
973,-83,4223,20.53,-126,114,34
986,-79,4213,20.53,-121,103,40
978,-84,4224,20.53,-122,107,42
976,-55,4231,20.58,-116,110,37
953,-73,4249,20.53,-125,101,34
956,-90,4205,20.62,-124,110,37
-2224,-466,3247,20.58,-408,576,-437
-2167,-403,3610,20.62,-90,129,69
-2151,-392,3592,20.53,-119,32,104
-2200,-404,3553,20.58,-206,100,91
-2187,-356,3605,20.58,-175,115,65
-1842,-238,3105,20.53,267,-1889,459
960,-80,4208,20.62,-123,109,40
978,-103,4231,20.58,-121,106,38
973,-74,4183,20.67,-130,118,38
964,-80,4217,20.62,-118,110,36
1059,-10,4179,20.67,-24,43,499
1087,-2304,3473,20.62,-178,212,-63
1060,-2269,3448,20.72,-188,126,-64
984,-2286,3576,20.72,-135,99,-57
892,-2269,3564,20.72,-74,128,35
895,-2275,3531,20.67,-87,132,61
859,-2235,3547,20.81,-164,103,48
910,-29,4292,20.72,-279,92,-706
979,-100,4229,20.77,-124,106,37
992,-68,4205,20.72,-122,107,37
969,-63,4233,20.72,-122,101,36
975,-62,4200,20.67,-123,117,37
976,-78,4199,20.67,-125,114,38
623,-3,4318,20.72,-80,110,209
1001,-186,4163,20.81,-127,107,8
1887,317,4058,20.81,-221,157,-480
2016,-250,3917,20.81,190,-25,1369
253,-707,4357,20.95,-151,146,-61
1434,375,4075,20.91,-380,92,-1020
1064,-345,4228,20.86,118,39,1131
995,-120,4199,20.86,-122,111,36
1721,157,4214,20.81,-291,147,-678
893,-167,4213,20.91,-128,116,-6
1599,540,4102,20.81,26,137,776
-10,-237,4457,20.86,-58,114,351
1611,73,4171,20.91,-339,75,-812
468,-264,4311,20.91,43,122,787
415,-615,4356,20.86,-183,93,-243
-95,-1326,4366,20.95,-211,92,-323
680,957,3871,20.91,-226,93,-499
2353,-124,3929,21.00,-206,140,-207
235,-138,3339,20.95,-195,-1017,-340
-56,-207,3449,21.00,140,-664,-179
-339,213,4020,20.86,202,-77,-25
989,-74,4196,20.95,-130,108,37
976,-91,4248,20.91,-123,110,35
942,-72,4220,20.95,-124,108,39
995,-61,4190,20.91,-129,117,46
990,-51,4209,20.91,-121,106,35
971,-75,4198,20.91,-128,113,38
974,-48,4228,21.00,-119,106,38
971,-73,4225,20.95,-124,115,37
998,-57,4224,20.91,-128,102,36
966,-56,4221,20.91,-123,120,33
970,-43,4192,20.95,-127,106,43
985,-63,4210,21.00,-127,104,37
982,-48,4227,21.00,-127,111,36
958,-65,4248,20.95,-126,108,35
989,-70,4226,20.95,-128,105,47
975,-65,4246,20.95,-126,104,38
971,-68,4226,21.00,-128,113,40
973,-49,4216,20.95,-129,105,42
981,-50,4197,21.05,-120,116,39
1007,-46,4252,20.91,-125,107,32
967,-81,4234,21.00,-127,108,34
970,-65,4212,21.05,-117,107,36
966,-61,4185,21.00,-122,109,42
968,-84,4209,21.05,-121,114,37
986,-58,4209,21.05,-127,104,38
983,-55,4231,21.05,-125,107,38
961,-52,4221,21.05,-126,109,37
976,-75,4216,21.05,-120,102,41
973,-70,4221,21.05,-131,110,35
966,-61,4249,21.00,-124,110,38
985,-65,4227,21.00,-125,111,38
987,-60,4226,21.00,-126,108,35
989,-77,4248,21.09,-120,111,39
979,-64,4245,21.00,-118,112,36
966,-75,4212,20.95,-126,110,41
967,-41,4236,21.00,-123,107,40
995,-37,4242,21.05,-125,109,42
986,-53,4212,21.09,-124,113,38
978,-70,4195,20.95,-127,113,39
1007,-46,4230,21.00,-121,108,45
973,-79,4218,21.05,-123,120,35
946,-80,4225,21.00,-128,113,41
985,-67,4194,21.05,-122,118,37
954,-77,4241,21.00,-126,108,34
991,-52,4231,21.00,-130,112,35
997,-73,4205,21.00,-128,110,35
1002,-58,4198,20.95,-126,106,40
969,-83,4232,21.05,-123,109,45
998,-78,4231,20.95,-123,114,35
982,-78,4237,21.00,-128,112,35
978,-92,4272,21.00,-124,107,40
997,-70,4243,21.00,-119,111,42
984,-59,4224,21.00,-124,117,35
992,-68,4176,21.00,-126,114,32
970,-66,4228,20.95,-131,110,45
957,-55,4248,20.95,-126,108,37
1002,-72,4213,21.09,-129,107,38
988,-75,4202,20.95,-128,111,34
982,-39,4228,21.05,-124,110,40
976,-66,4199,21.00,-122,110,37
991,-80,4203,21.09,-125,107,34
980,-71,4222,21.05,-129,99,39
994,-61,4218,21.05,-121,107,36
991,-45,4222,21.00,-123,107,36
995,-59,4227,21.05,-123,107,37
994,-51,4183,21.09,-122,108,39
958,-72,4209,21.09,-119,109,35
973,-74,4199,21.09,-126,114,37
961,-73,4177,21.09,-126,110,36
978,-75,4265,21.05,-126,112,36
969,-57,4223,21.00,-126,116,38
986,-55,4253,21.09,-125,113,37
988,-75,4235,21.05,-125,108,36
982,-88,4231,21.00,-127,103,36
1013,-75,4262,21.00,-126,111,36
977,-63,4190,21.05,-125,108,34
974,-57,4266,21.05,-128,102,32
1003,-54,4222,21.05,-123,105,36
958,-58,4220,20.95,-121,115,34
984,-67,4231,21.00,-127,114,33
976,-79,4221,21.05,-123,109,38
1009,-57,4245,21.09,-128,103,36
